ETF,date,price,index
VT,22/01/2020,79.519882,100
VT,23/01/2020,79.433304,99.89112408
VT,24/01/2020,78.807991,99.10476351
VT,25/01/2020,,0
VT,26/01/2020,,0
VT,27/01/2020,77.345734,97.26590641
VT,28/01/2020,78.105728,98.22163469
VT,29/01/2020,78.028763,98.12484757
VT,30/01/2020,78.028763,98.12484757
VT,31/01/2020,76.701187,96.45535817
VT,01/02/2020,,0
VT,02/02/2020,,0
VT,03/02/2020,77.124466,96.98765147
VT,04/02/2020,78.394325,98.58455902
VT,05/02/2020,79.106224,99.47980557
VT,06/02/2020,79.356339,99.79433697
VT,07/02/2020,78.711792,98.98378873
VT,08/02/2020,,0
VT,09/02/2020,,0
VT,10/02/2020,79.125458,99.50399323
VT,11/02/2020,79.519882,100
VT,12/02/2020,80.010506,100.6169828
VT,13/02/2020,79.721901,100.2540484
VT,14/02/2020,79.779633,100.3266491
VT,15/02/2020,,0
VT,16/02/2020,,0
VT,17/02/2020,,0
VT,18/02/2020,79.433304,99.89112408
VT,19/02/2020,79.85659,100.4234262
VT,20/02/2020,79.414063,99.86692762
VT,21/02/2020,78.769501,99.05636052
VT,22/02/2020,,0
VT,23/02/2020,,0
VT,24/02/2020,76.066254,95.65689999
VT,25/02/2020,74.257668,93.38251785
VT,26/02/2020,74.132614,93.22525655
VT,27/02/2020,71.390884,89.77740183
VT,28/02/2020,71.159988,89.48703923
VT,29/02/2020,,0
VT,01/03/2020,,0
VT,02/03/2020,73.112892,91.94290806
VT,03/03/2020,71.69873,90.16453269
VT,04/03/2020,74.094124,93.17685356
VT,05/03/2020,71.977699,90.51534936
VT,06/03/2020,70.707855,88.91846067
VT,07/03/2020,,0
VT,08/03/2020,,0
VT,09/03/2020,65.128181,81.9017576
VT,10/03/2020,68.081566,85.61577845
VT,11/03/2020,64.714516,81.38155436
VT,12/03/2020,58.095879,73.05830635
VT,13/03/2020,62.723152,78.87732027
VT,14/03/2020,,0
VT,15/03/2020,,0
