Date,Adj Close
11/06/2001,38.2
18/06/2001,38.5
25/06/2001,38.7
02/07/2001,37.5
09/07/2001,38.3
16/07/2001,38.1
23/07/2001,38.0
30/07/2001,38.2
06/08/2001,37.4
13/08/2001,36.6
20/08/2001,37.3
27/08/2001,35.9
03/09/2001,34.2
10/09/2001,34.4
17/09/2001,30.4
24/09/2001,32.6
01/10/2001,33.5
08/10/2001,34.2
15/10/2001,33.7
22/10/2001,34.7
29/10/2001,34.2
05/11/2001,35.2
12/11/2001,35.8
19/11/2001,36.2
26/11/2001,36.0
03/12/2001,36.9
10/12/2001,35.7
17/12/2001,36.4
24/12/2001,36.8
31/12/2001,37.4
07/01/2002,36.6
14/01/2002,36.0
21/01/2002,36.2
28/01/2002,35.9
04/02/2002,35.1
11/02/2002,35.4
18/02/2002,34.8
25/02/2002,36.2
04/03/2002,37.4
11/03/2002,37.4
18/03/2002,37.0
25/03/2002,36.7
01/04/2002,36.3
08/04/2002,36.0
15/04/2002,36.5
22/04/2002,34.9
29/04/2002,35.0
06/05/2002,34.4
13/05/2002,36.0
20/05/2002,35.2
27/05/2002,34.7
03/06/2002,33.6
10/06/2002,32.8
17/06/2002,32.3
24/06/2002,32.2
01/07/2002,32.2
08/07/2002,30.1
15/07/2002,27.7
22/07/2002,27.8
29/07/2002,28.2
05/08/2002,29.5
12/08/2002,30.2
19/08/2002,30.7
26/08/2002,29.8
02/09/2002,29.3
09/09/2002,29.1
16/09/2002,27.7
23/09/2002,27.2
30/09/2002,26.2
07/10/2002,27.3
14/10/2002,28.8
21/10/2002,29.3
28/10/2002,29.4
04/11/2002,29.1
11/11/2002,29.7
18/11/2002,30.4
25/11/2002,30.6
02/12/2002,29.9
09/12/2002,29.2
16/12/2002,29.4
23/12/2002,28.6
30/12/2002,29.8
06/01/2003,30.4
13/01/2003,29.7
20/01/2003,28.4
27/01/2003,28.2
03/02/2003,27.3
10/02/2003,27.4
17/02/2003,28.0
24/02/2003,27.8
03/03/2003,27.4
10/03/2003,27.6
17/03/2003,29.5
24/03/2003,28.5
31/03/2003,28.9
07/04/2003,28.7
14/04/2003,29.5
21/04/2003,29.7
28/04/2003,30.8
05/05/2003,31.0
12/05/2003,31.4
19/05/2003,31.1
26/05/2003,32.2
02/06/2003,33.0
09/06/2003,33.0
16/06/2003,33.2
23/06/2003,32.6
30/06/2003,33.0
07/07/2003,33.6
14/07/2003,33.4
21/07/2003,33.6
28/07/2003,33.1
04/08/2003,32.9
11/08/2003,33.4
18/08/2003,33.7
25/08/2003,34.2
01/09/2003,34.7
08/09/2003,34.7
15/09/2003,35.2
22/09/2003,33.9
29/09/2003,35.0
06/10/2003,35.4
13/10/2003,35.5
20/10/2003,35.0
27/10/2003,35.9
03/11/2003,36.1
10/11/2003,36.1
17/11/2003,35.5
24/11/2003,36.5
01/12/2003,36.4
08/12/2003,36.9
15/12/2003,37.2
22/12/2003,37.4
29/12/2003,37.9
05/01/2004,38.5
12/01/2004,39.2
19/01/2004,39.3
26/01/2004,38.9
02/02/2004,39.3
09/02/2004,39.5
16/02/2004,39.4
23/02/2004,39.5
01/03/2004,40.0
08/03/2004,38.8
15/03/2004,38.3
22/03/2004,38.4
29/03/2004,39.5
05/04/2004,39.5
12/04/2004,39.2
19/04/2004,39.5
26/04/2004,38.2
03/05/2004,37.9
10/05/2004,37.7
17/05/2004,37.7
24/05/2004,38.7
31/05/2004,38.8
07/06/2004,39.2
14/06/2004,39.1
21/06/2004,39.4
28/06/2004,38.9
05/07/2004,38.5
12/07/2004,38.1
19/07/2004,37.5
26/07/2004,38.1
02/08/2004,36.7
09/08/2004,36.7
16/08/2004,38.0
23/08/2004,38.3
30/08/2004,38.5
06/09/2004,39.0
13/09/2004,39.1
20/09/2004,38.6
27/09/2004,39.3
04/10/2004,39.1
11/10/2004,38.7
18/10/2004,38.3
25/10/2004,39.5
01/11/2004,40.7
08/11/2004,41.4
15/11/2004,41.0
22/11/2004,41.5
29/11/2004,41.9
06/12/2004,41.7
13/12/2004,42.2
20/12/2004,42.7
27/12/2004,42.5
03/01/2005,41.7
10/01/2005,41.6
17/01/2005,41.2
24/01/2005,41.3
31/01/2005,42.4
07/02/2005,42.6
14/02/2005,42.5
21/02/2005,42.8
28/02/2005,43.3
07/03/2005,42.5
14/03/2005,42.1
21/03/2005,41.4
28/03/2005,41.6
04/04/2005,41.8
11/04/2005,40.4
18/04/2005,40.8
25/04/2005,40.9
02/05/2005,41.5
09/05/2005,40.9
16/05/2005,42.2
23/05/2005,42.6
30/05/2005,42.6
06/06/2005,42.8
13/06/2005,43.5
20/06/2005,42.6
27/06/2005,42.8
04/07/2005,43.6
11/07/2005,44.1
18/07/2005,44.4
25/07/2005,44.6
01/08/2005,44.1
08/08/2005,44.2
15/08/2005,44.0
22/08/2005,43.4
29/08/2005,44.0
05/09/2005,44.8
12/09/2005,44.7
19/09/2005,43.9
26/09/2005,44.3
03/10/2005,43.3
10/10/2005,42.9
17/10/2005,42.7
24/10/2005,43.3
31/10/2005,44.2
07/11/2005,44.8
14/11/2005,45.3
21/11/2005,46.0
28/11/2005,46.0
05/12/2005,45.9
12/12/2005,46.1
19/12/2005,46.2
26/12/2005,45.2
02/01/2006,46.9
09/01/2006,47.1
16/01/2006,46.2
23/01/2006,47.1
30/01/2006,46.5
06/02/2006,46.5
13/02/2006,47.2
20/02/2006,47.4
27/02/2006,47.3
06/03/2006,47.0
13/03/2006,48.0
20/03/2006,47.8
27/03/2006,48.0
03/04/2006,47.9
10/04/2006,47.6
17/04/2006,48.5
24/04/2006,48.5
01/05/2006,49.0
08/05/2006,47.7
15/05/2006,46.8
22/05/2006,47.2
29/05/2006,47.6
05/06/2006,46.0
12/06/2006,46.0
19/06/2006,45.9
26/06/2006,46.8
03/07/2006,46.7
10/07/2006,45.5
17/07/2006,45.4
24/07/2006,46.9
31/07/2006,47.0
07/08/2006,46.5
14/08/2006,47.9
21/08/2006,47.5
28/08/2006,48.3
04/09/2006,47.8
11/09/2006,48.6
18/09/2006,48.4
25/09/2006,48.9
02/10/2006,49.7
09/10/2006,50.4
16/10/2006,50.5
23/10/2006,50.8
30/10/2006,50.3
06/11/2006,51.0
13/11/2006,51.8
20/11/2006,52.0
27/11/2006,51.8
04/12/2006,52.4
11/12/2006,52.9
18/12/2006,52.0
25/12/2006,52.6
01/01/2007,52.2
08/01/2007,53.2
15/01/2007,53.1
22/01/2007,52.9
29/01/2007,54.0
05/02/2007,53.7
12/02/2007,54.4
19/02/2007,54.4
26/02/2007,51.8
05/03/2007,52.5
12/03/2007,51.9
19/03/2007,53.8
26/03/2007,53.1
02/04/2007,54.1
09/04/2007,54.5
16/04/2007,55.6
23/04/2007,55.9
30/04/2007,56.4
07/05/2007,56.4
14/05/2007,56.9
21/05/2007,56.7
28/05/2007,57.7
04/06/2007,56.6
11/06/2007,57.6
18/06/2007,56.7
25/06/2007,56.3
02/07/2007,57.7
09/07/2007,58.3
16/07/2007,57.7
23/07/2007,54.5
30/07/2007,53.8
06/08/2007,54.4
13/08/2007,54.1
20/08/2007,55.5
27/08/2007,55.3
03/09/2007,54.8
10/09/2007,55.7
17/09/2007,57.2
24/09/2007,57.2
01/10/2007,58.7
08/10/2007,58.9
15/10/2007,56.6
22/10/2007,57.9
29/10/2007,57.0
05/11/2007,54.9
12/11/2007,55.0
19/11/2007,54.2
26/11/2007,55.8
03/12/2007,56.8
10/12/2007,55.3
17/12/2007,55.8
24/12/2007,55.7
31/12/2007,53.2
07/01/2008,52.7
14/01/2008,49.9
21/01/2008,50.2
28/01/2008,52.8
04/02/2008,50.5
11/02/2008,51.2
18/02/2008,51.3
25/02/2008,50.7
03/03/2008,49.1
10/03/2008,49.0
17/03/2008,50.1
24/03/2008,49.8
31/03/2008,52.1
07/04/2008,50.8
14/04/2008,52.9
21/04/2008,53.2
28/04/2008,53.8
05/05/2008,53.1
12/05/2008,54.5
19/05/2008,52.7
26/05/2008,53.8
02/06/2008,52.6
09/06/2008,52.5
16/06/2008,51.1
23/06/2008,49.3
30/06/2008,48.6
07/07/2008,47.9
14/07/2008,48.6
21/07/2008,48.6
28/07/2008,48.9
04/08/2008,50.1
11/08/2008,50.5
18/08/2008,50.2
25/08/2008,49.8
01/09/2008,48.3
08/09/2008,48.9
15/09/2008,48.9
22/09/2008,46.9
29/09/2008,42.5
06/10/2008,34.4
13/10/2008,36.1
20/10/2008,33.5
27/10/2008,37.3
03/11/2008,35.7
10/11/2008,33.4
17/11/2008,30.4
24/11/2008,34.3
01/12/2008,33.5
08/12/2008,33.9
15/12/2008,34.2
22/12/2008,33.6
29/12/2008,35.9
05/01/2009,34.5
12/01/2009,33.0
19/01/2009,32.2
26/01/2009,32.1
02/02/2009,33.8
09/02/2009,32.2
16/02/2009,30.0
23/02/2009,28.7
02/03/2009,26.6
09/03/2009,29.6
16/03/2009,30.0
23/03/2009,31.7
30/03/2009,33.1
06/04/2009,33.7
13/04/2009,34.3
20/04/2009,34.2
27/04/2009,34.7
04/05/2009,36.6
11/05/2009,34.8
18/05/2009,35.1
25/05/2009,36.4
01/06/2009,37.3
08/06/2009,37.6
15/06/2009,36.5
22/06/2009,36.3
29/06/2009,35.8
06/07/2009,34.9
13/07/2009,37.4
20/07/2009,39.0
27/07/2009,39.4
03/08/2009,40.4
10/08/2009,40.2
17/08/2009,41.0
24/08/2009,41.2
31/08/2009,40.7
07/09/2009,41.9
14/09/2009,43.0
21/09/2009,41.8
28/09/2009,41.2
05/10/2009,43.2
12/10/2009,43.8
19/10/2009,43.4
26/10/2009,41.4
02/11/2009,42.8
09/11/2009,43.8
16/11/2009,43.7
23/11/2009,43.7
30/11/2009,44.4
07/12/2009,44.4
14/12/2009,44.5
21/12/2009,45.2
28/12/2009,45.0
04/01/2010,46.4
11/01/2010,45.9
18/01/2010,44.3
25/01/2010,43.4
01/02/2010,43.1
08/02/2010,43.7
15/02/2010,45.1
22/02/2010,44.9
01/03/2010,46.5
08/03/2010,47.0
15/03/2010,47.3
22/03/2010,47.4
29/03/2010,48.1
05/04/2010,48.9
12/04/2010,49.0
19/04/2010,50.1
26/04/2010,48.8
03/05/2010,45.4
10/05/2010,46.8
17/05/2010,44.7
24/05/2010,45.0
31/05/2010,43.8
07/06/2010,44.9
14/06/2010,46.0
21/06/2010,44.1
28/06/2010,42.0
05/07/2010,44.2
12/07/2010,43.7
19/07/2010,45.3
26/07/2010,45.3
02/08/2010,46.1
09/08/2010,44.3
16/08/2010,44.1
23/08/2010,43.8
30/08/2010,45.5
06/09/2010,45.7
13/09/2010,46.4
20/09/2010,47.2
27/09/2010,47.5
04/10/2010,48.3
11/10/2010,48.8
18/10/2010,49.1
25/10/2010,49.2
01/11/2010,51.0
08/11/2010,50.0
15/11/2010,50.1
22/11/2010,49.8
29/11/2010,51.3
06/12/2010,52.0
13/12/2010,52.2
20/12/2010,52.5
27/12/2010,52.9
03/01/2011,53.4
10/01/2011,54.4
17/01/2011,53.8
24/01/2011,53.6
31/01/2011,55.1
07/02/2011,56.0
14/02/2011,56.6
21/02/2011,55.6
28/02/2011,55.7
07/03/2011,55.0
14/03/2011,54.0
21/03/2011,55.3
28/03/2011,56.5
04/04/2011,56.3
11/04/2011,55.9
18/04/2011,56.7
25/04/2011,57.8
02/05/2011,56.8
09/05/2011,56.7
16/05/2011,56.5
23/05/2011,56.6
30/05/2011,55.2
06/06/2011,53.9
13/06/2011,53.9
20/06/2011,53.7
27/06/2011,57.0
04/07/2011,57.3
11/07/2011,56.1
18/07/2011,57.2
25/07/2011,54.9
01/08/2011,50.6
08/08/2011,49.8
15/08/2011,47.3
22/08/2011,49.7
29/08/2011,49.6
05/09/2011,48.8
12/09/2011,51.5
19/09/2011,47.6
26/09/2011,47.6
03/10/2011,48.7
10/10/2011,51.7
17/10/2011,52.2
24/10/2011,54.4
31/10/2011,53.2
07/11/2011,53.6
14/11/2011,51.6
21/11/2011,49.1
28/11/2011,52.8
05/12/2011,53.3
12/12/2011,51.7
19/12/2011,53.4
26/12/2011,53.4
02/01/2012,54.3
09/01/2012,54.9
16/01/2012,56.1
23/01/2012,56.3
30/01/2012,57.7
06/02/2012,57.5
13/02/2012,58.4
20/02/2012,58.6
27/02/2012,58.6
05/03/2012,58.8
12/03/2012,60.2
19/03/2012,59.9
26/03/2012,60.0
02/04/2012,59.8
09/04/2012,58.7
16/04/2012,59.0
23/04/2012,60.2
30/04/2012,58.6
07/05/2012,58.1
14/05/2012,55.4
21/05/2012,56.5
28/05/2012,54.7
04/06/2012,56.8
11/06/2012,57.3
18/06/2012,57.2
25/06/2012,58.1
02/07/2012,58.2
09/07/2012,58.2
16/07/2012,58.4
23/07/2012,59.3
30/07/2012,59.5
06/08/2012,60.2
13/08/2012,60.9
20/08/2012,60.5
27/08/2012,60.5
03/09/2012,62.0
10/09/2012,63.3
17/09/2012,62.9
24/09/2012,61.7
01/10/2012,62.9
08/10/2012,61.5
15/10/2012,61.7
22/10/2012,60.9
29/10/2012,61.0
05/11/2012,59.6
12/11/2012,58.7
19/11/2012,60.9
26/11/2012,61.4
03/12/2012,61.5
10/12/2012,61.4
17/12/2012,61.8
24/12/2012,61.1
31/12/2012,64.0
07/01/2013,64.3
14/01/2013,64.9
21/01/2013,65.8
28/01/2013,66.2
04/02/2013,66.5
11/02/2013,66.7
18/02/2013,66.4
25/02/2013,66.5
04/03/2013,68.1
11/03/2013,68.6
18/03/2013,68.1
25/03/2013,69.0
01/04/2013,68.1
08/04/2013,69.7
15/04/2013,68.2
22/04/2013,69.4
29/04/2013,70.8
06/05/2013,71.8
13/05/2013,73.4
20/05/2013,72.5
27/05/2013,71.8
03/06/2013,72.3
10/06/2013,71.7
17/06/2013,70.2
24/06/2013,70.4
01/07/2013,72.2
08/07/2013,74.2
15/07/2013,74.9
22/07/2013,74.9
29/07/2013,75.8
05/08/2013,75.2
12/08/2013,73.5
19/08/2013,74.0
26/08/2013,72.6
02/09/2013,73.7
09/09/2013,75.3
16/09/2013,76.4
23/09/2013,75.4
30/09/2013,75.8
07/10/2013,76.3
14/10/2013,78.2
21/10/2013,78.9
28/10/2013,78.7
04/11/2013,79.1
11/11/2013,80.4
18/11/2013,80.6
25/11/2013,80.7
02/12/2013,80.7
09/12/2013,79.5
16/12/2013,81.2
23/12/2013,82.6
30/12/2013,82.2
06/01/2014,82.9
13/01/2014,82.8
20/01/2014,80.7
27/01/2014,80.3
03/02/2014,80.9
10/02/2014,82.9
17/02/2014,83.1
24/02/2014,84.2
03/03/2014,85.1
10/03/2014,83.5
17/03/2014,84.5
24/03/2014,83.5
31/03/2014,84.2
07/04/2014,81.9
14/04/2014,84.0
21/04/2014,83.9
28/04/2014,84.7
05/05/2014,84.4
12/05/2014,84.4
19/05/2014,85.6
26/05/2014,86.5
02/06/2014,87.9
09/06/2014,87.4
16/06/2014,88.7
23/06/2014,88.4
30/06/2014,89.8
07/07/2014,88.7
14/07/2014,89.1
21/07/2014,89.1
28/07/2014,86.8
04/08/2014,87.2
11/08/2014,88.3
18/08/2014,89.8
25/08/2014,90.6
01/09/2014,90.8
08/09/2014,89.9
15/09/2014,90.7
22/09/2014,88.9
29/09/2014,88.6
06/10/2014,85.6
13/10/2014,85.1
20/10/2014,88.6
27/10/2014,91.1
03/11/2014,91.8
10/11/2014,92.1
17/11/2014,93.2
24/11/2014,93.4
01/12/2014,93.7
08/12/2014,90.5
15/12/2014,93.7
22/12/2014,94.1
29/12/2014,93.3
05/01/2015,92.7
12/01/2015,91.6
19/01/2015,93.1
26/01/2015,90.8
02/02/2015,93.7
09/02/2015,95.5
16/02/2015,96.3
23/02/2015,96.0
02/03/2015,94.7
09/03/2015,94.1
16/03/2015,96.7
23/03/2015,94.1
30/03/2015,95.0
06/04/2015,96.6
13/04/2015,95.6
20/04/2015,97.2
27/04/2015,96.4
04/05/2015,96.9
11/05/2015,97.3
18/05/2015,97.6
25/05/2015,96.7
01/06/2015,96.4
08/06/2015,96.5
15/06/2015,97.3
22/06/2015,96.5
29/06/2015,95.6
06/07/2015,95.6
13/07/2015,97.7
20/07/2015,95.6
27/07/2015,96.7
03/08/2015,95.5
10/08/2015,96.1
17/08/2015,90.9
24/08/2015,91.5
31/08/2015,88.7
07/09/2015,90.5
14/09/2015,90.5
21/09/2015,88.5
28/09/2015,89.6
05/10/2015,92.7
12/10/2015,93.4
19/10/2015,95.0
26/10/2015,95.2
02/11/2015,96.3
09/11/2015,92.8
16/11/2015,95.8
23/11/2015,96.1
30/11/2015,95.9
07/12/2015,92.2
14/12/2015,91.9
21/12/2015,94.0
28/12/2015,93.7
04/01/2016,88.0
11/01/2016,85.8
18/01/2016,87.0
25/01/2016,88.3
01/02/2016,85.6
08/02/2016,84.8
15/02/2016,87.4
22/02/2016,89.0
29/02/2016,91.7
07/03/2016,92.7
14/03/2016,93.5
21/03/2016,93.3
28/03/2016,95.2
04/04/2016,94.0
11/04/2016,95.7
18/04/2016,96.4
25/04/2016,95.2
02/05/2016,94.7
09/05/2016,94.2
16/05/2016,94.7
23/05/2016,96.9
30/05/2016,97.2
06/06/2016,97.0
13/06/2016,95.5
20/06/2016,94.3
27/06/2016,97.3
04/07/2016,98.7
11/07/2016,100.2
18/07/2016,100.9
25/07/2016,101.0
01/08/2016,101.4
08/08/2016,101.6
15/08/2016,101.7
22/08/2016,101.1
29/08/2016,101.8
05/09/2016,99.4
12/09/2016,99.4
19/09/2016,101.3
26/09/2016,101.4
03/10/2016,100.7
10/10/2016,99.6
17/10/2016,100.0
24/10/2016,99.1
31/10/2016,97.3
07/11/2016,101.5
14/11/2016,102.7
21/11/2016,104.4
28/11/2016,103.2
05/12/2016,106.7
12/12/2016,106.4
19/12/2016,106.1
26/12/2016,105.7
02/01/2017,107.5
09/01/2017,107.4
16/01/2017,107.2
23/01/2017,108.3
30/01/2017,108.5
06/02/2017,109.6
13/02/2017,111.2
20/02/2017,111.8
27/02/2017,112.5
06/03/2017,111.9
13/03/2017,112.4
20/03/2017,110.1
27/03/2017,111.7
03/04/2017,111.3
10/04/2017,110.1
17/04/2017,111.3
24/04/2017,112.9
01/05/2017,113.6
08/05/2017,113.0
15/05/2017,112.7
22/05/2017,114.3
29/05/2017,115.5
05/06/2017,115.3
12/06/2017,115.3
19/06/2017,115.1
26/06/2017,115.1
03/07/2017,115.2
10/07/2017,116.8
17/07/2017,117.4
24/07/2017,117.3
31/07/2017,117.4
07/08/2017,115.7
14/08/2017,114.9
21/08/2017,116.0
28/08/2017,117.7
04/09/2017,117.0
11/09/2017,119.0
18/09/2017,118.7
25/09/2017,120.3
02/10/2017,121.9
09/10/2017,122.0
16/10/2017,123.0
23/10/2017,123.2
30/10/2017,123.4
06/11/2017,123.1
13/11/2017,123.2
20/11/2017,124.6
27/11/2017,126.4
04/12/2017,126.8
11/12/2017,127.8
18/12/2017,127.8
25/12/2017,128.1
01/01/2018,131.0
08/01/2018,133.3
15/01/2018,134.4
22/01/2018,137.1
29/01/2018,131.9
05/02/2018,125.3
12/02/2018,130.8
19/02/2018,131.5
26/02/2018,129.1
05/03/2018,133.8
12/03/2018,132.2
19/03/2018,124.3
26/03/2018,127.2
02/04/2018,125.5
09/04/2018,128.0
16/04/2018,128.9
23/04/2018,128.7
30/04/2018,128.5
07/05/2018,131.8
14/05/2018,131.4
21/05/2018,131.8
28/05/2018,132.6
04/06/2018,134.9
11/06/2018,135.1
18/06/2018,133.5
25/06/2018,132.2
02/07/2018,134.4
09/07/2018,136.2
