date,total_cases,total_vaccinations,total_deaths,price
22 January 2020,557,,17,163.396072
23 January 2020,655,,18,163.580292
24 January 2020,941,,26,162.028778
25 January 2020,1434,,42,
26 January 2020,2118,,56,
27 January 2020,2927,,82,159.594818
28 January 2020,5578,,131,161.136642
29 January 2020,6167,,133,161.029953
30 January 2020,8235,,171,161.417877
31 January 2020,9927,,213,158.56691
01 February 2020,12038,,259,
02 February 2020,16787,,362,
03 February 2020,19887,,426,159.963272
04 February 2020,23898,,492,162.484543
05 February 2020,27643,,564,164.084549
06 February 2020,30805,,634,164.540298
07 February 2020,34399,,719,163.599701
08 February 2020,37130,,806,
09 February 2020,40161,,906,
10 February 2020,42769,,1013,164.802139
11 February 2020,44811,,1113,165.257904
12 February 2020,45229,,1118,166.295502
13 February 2020,60381,,1371,166.227615
14 February 2020,66909,,1523,166.49913
15 February 2020,69052,,1666,
16 February 2020,71235,,1770,
17 February 2020,73270,,1868,
18 February 2020,75152,,2008,166.111252
19 February 2020,75652,,2123,166.954895
20 February 2020,76212,,2248,166.450638
21 February 2020,76841,,2252,164.743958
22 February 2020,78602,,2459,
23 February 2020,78982,,2470,
24 February 2020,79550,,2630,159.323288
25 February 2020,80404,,2710,154.455338
26 February 2020,81381,,2771,153.60199
27 February 2020,82740,,2814,146.872238
28 February 2020,84128,,2873,145.883102
29 February 2020,86022,,2943,
01 March 2020,88400,,2997,
02 March 2020,90379,,3086,151.924393
03 March 2020,92980,,3160,148.00679
04 March 2020,95282,,3255,153.921997
05 March 2020,98100,,3348,148.792236
06 March 2020,102016,,3461,146.028549
07 March 2020,106113,,3565,
08 March 2020,110051,,3805,
09 March 2020,114232,,3995,134.304764
10 March 2020,119055,,4271,140.966675
11 March 2020,126714,,4616,133.829605
12 March 2020,132513,,4925,120.816116
13 March 2020,146864,,5417,131.812607
14 March 2020,157962,,5838,
15 March 2020,169241,,6483,
16 March 2020,184034,,7175,116.811211
17 March 2020,200039,,7990,122.668259
18 March 2020,219585,,8906,115.599083
19 March 2020,246683,,10022,116.452408
20 March 2020,277564,,11518,111.700844
21 March 2020,309679,,13241,
22 March 2020,344821,,14927,
23 March 2020,387488,,16885,108.520195
24 March 2020,428574,,19195,118.818504
25 March 2020,479663,,22019,120.457321
26 March 2020,542525,,25059,127.770149
27 March 2020,607435,,28544,123.696655
28 March 2020,677100,,32380,
29 March 2020,734000,,35857,
30 March 2020,799279,,39938,127.44857
31 March 2020,876098,,44670,125.626213
01 April 2020,959012,,50684,119.827782
02 April 2020,1041923,,56576,122.322556
03 April 2020,1126238,,62754,120.237076
04 April 2020,1185171,,68734,
05 April 2020,1256277,,73977,
06 April 2020,1330151,,79912,128.647232
