date,price,aa,ab,ac,ad,ae,af,ag,ah,ai,aj,ak,al,am,an,ao,ap,aq,ar,as,at,au
22/01/2020,79.519882,,,,,,,,,,,,,,,,,,,,,
23/01/2020,79.433304,,,,,,,,,,,,,,,,,,,,,
24/01/2020,78.807991,,,,,,,,,,,,,,,,,,,,,
25/01/2020,,,,,,,,,,,,,,,,,,,,,,
26/01/2020,,,,,,,,,,,,,,,,,,,,,,
27/01/2020,77.345734,,,,,,,,,,,,,,,,,,,,,
28/01/2020,78.105728,,,,,,,,,,,,,,,,,,,,,
29/01/2020,78.028763,,,,,,,,,,,,,,,,,,,,,
30/01/2020,78.028763,,,,,,,,,,,,,,,,,,,,,
31/01/2020,76.701187,1,,,,,,,,,,,,,,,,,,,,
01/02/2020,,,,,,,,,,,,,,,,,,,,,,
02/02/2020,,,,,,,,,,,,,,,,,,,,,,
03/02/2020,77.124466,,,,,,,,,,,,,,,,,,,,,
04/02/2020,78.394325,,,,,,,,,,,,,,,,,,,,,
05/02/2020,79.106224,,,,,,,,,,,,,,,,,,,,,
06/02/2020,79.356339,,,,,,,,,,,,,,,,,,,,,
07/02/2020,78.711792,,,,,,,,,,,,,,,,,,,,,
08/02/2020,,,,,,,,,,,,,,,,,,,,,,
09/02/2020,,,,,,,,,,,,,,,,,,,,,,
10/02/2020,79.125458,,,,,,,,,,,,,,,,,,,,,
11/02/2020,79.519882,,,,,,,,,,,,,,,,,,,,,
12/02/2020,80.010506,,,,,,,,,,,,,,,,,,,,,
13/02/2020,79.721901,,,,,,,,,,,,,,,,,,,,,
14/02/2020,79.779633,,,,,,,,,,,,,,,,,,,,,
15/02/2020,,,,,,,,,,,,,,,,,,,,,,
16/02/2020,,,,,,,,,,,,,,,,,,,,,,
17/02/2020,,,,,,,,,,,,,,,,,,,,,,
18/02/2020,79.433304,,,,,,,,,,,,,,,,,,,,,
19/02/2020,79.85659,,,,,,,,,,,,,,,,,,,,,
20/02/2020,79.414063,,,,,,,,,,,,,,,,,,,,,
21/02/2020,78.769501,,1,,,,,,,,,,,,,,,,,,,
22/02/2020,,,,,,,,,,,,,,,,,,,,,,
23/02/2020,,,,,,,,,,,,,,,,,,,,,,
24/02/2020,76.066254,,,,,,,,,,,,,,,,,,,,,
25/02/2020,74.257668,,,,,,,,,,,,,,,,,,,,,
26/02/2020,74.132614,,,,,,,,,,,,,,,,,,,,,
27/02/2020,71.390884,,,,,,,,,,,,,,,,,,,,,
28/02/2020,71.159988,,,,,,,,,,,,,,,,,,,,,
29/02/2020,,,,,,,,,,,,,,,,,,,,,,
01/03/2020,,,,,,,,,,,,,,,,,,,,,,
02/03/2020,73.112892,,,,,,,,,,,,,,,,,,,,,
03/03/2020,71.69873,,,,,,,,,,,,,,,,,,,,,
04/03/2020,74.094124,,,,,,,,,,,,,,,,,,,,,
05/03/2020,71.977699,,,,,,,,,,,,,,,,,,,,,
06/03/2020,70.707855,,,,1,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,65.128181,,,,,,,,,,,,,,,,,,,,,
10/03/2020,68.081566,,,,,,,,,,,,,,,,,,,,,
11/03/2020,64.714516,,,,,1,,,,,,,,,,,,,,,,
12/03/2020,58.095879,,,,,,,,,,,,,,,,,,,,,
13/03/2020,62.723152,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,
