type,date,value
newcases_per,22/01/2020,
newcases_per,23/01/2020,
newcases_per,24/01/2020,
newcases_per,25/01/2020,
newcases_per,26/01/2020,
newcases_per,27/01/2020,
newcases_per,28/01/2020,0.091
newcases_per,29/01/2020,0.102
newcases_per,30/01/2020,0.138
newcases_per,31/01/2020,0.163
newcases_per,01/02/2020,0.192
newcases_per,02/02/2020,0.266
newcases_per,03/02/2020,0.308
newcases_per,04/02/2020,0.332
newcases_per,05/02/2020,0.39
newcases_per,06/02/2020,0.409
newcases_per,07/02/2020,0.444
newcases_per,08/02/2020,0.455
newcases_per,09/02/2020,0.424
newcases_per,10/02/2020,0.415
newcases_per,11/02/2020,0.379
newcases_per,12/02/2020,0.319
newcases_per,13/02/2020,0.537
newcases_per,14/02/2020,0.59
newcases_per,15/02/2020,0.579
newcases_per,16/02/2020,0.564
newcases_per,17/02/2020,0.553
newcases_per,18/02/2020,0.55
newcases_per,19/02/2020,0.552
newcases_per,20/02/2020,0.287
newcases_per,21/02/2020,0.18
newcases_per,22/02/2020,0.173
newcases_per,23/02/2020,0.141
newcases_per,24/02/2020,0.114
newcases_per,25/02/2020,0.095
newcases_per,26/02/2020,0.104
newcases_per,27/02/2020,0.118
newcases_per,28/02/2020,0.132
newcases_per,29/02/2020,0.135
newcases_per,01/03/2020,0.171
newcases_per,02/03/2020,0.196
newcases_per,03/03/2020,0.228
newcases_per,04/03/2020,0.252
newcases_per,05/03/2020,0.279
newcases_per,06/03/2020,0.325
newcases_per,07/03/2020,0.364
newcases_per,08/03/2020,0.393
newcases_per,09/03/2020,0.433
newcases_per,10/03/2020,0.473
newcases_per,11/03/2020,0.57
newcases_per,12/03/2020,0.624
newcases_per,13/03/2020,0.814
newcases_per,14/03/2020,0.941
newcases_per,15/03/2020,1.074
newcases_per,16/03/2020,1.266
newcases_per,17/03/2020,1.469
newcases_per,18/03/2020,1.685
newcases_per,19/03/2020,2.071
newcases_per,20/03/2020,2.371
newcases_per,21/03/2020,2.752
newcases_per,22/03/2020,3.185
newcases_per,23/03/2020,3.691
newcases_per,24/03/2020,4.146
newcases_per,25/03/2020,4.718
newcases_per,26/03/2020,5.367
newcases_per,27/03/2020,5.984
newcases_per,28/03/2020,6.665
newcases_per,29/03/2020,7.06
newcases_per,30/03/2020,7.47
newcases_per,31/03/2020,8.118
newcases_per,01/04/2020,8.696
newcases_per,02/04/2020,9.059
newcases_per,03/04/2020,9.411
newcases_per,04/04/2020,9.217
newcases_per,05/04/2020,9.459
newcases_per,06/04/2020,9.615
newcases_per,07/04/2020,9.48
newcases_per,08/04/2020,9.488
newcases_per,09/04/2020,9.569
newcases_per,10/04/2020,9.588
newcases_per,11/04/2020,9.87
newcases_per,12/04/2020,10.764
newcases_per,13/04/2020,10.712
newcases_per,14/04/2020,10.974
newcases_per,15/04/2020,10.88
newcases_per,16/04/2020,11.026
newcases_per,17/04/2020,11.076
newcases_per,18/04/2020,11.127
newcases_per,19/04/2020,10.352
newcases_per,20/04/2020,10.433
newcases_per,21/04/2020,10.29
newcases_per,22/04/2020,10.356
newcases_per,23/04/2020,10.141
newcases_per,24/04/2020,10.064
newcases_per,25/04/2020,10.167
newcases_per,26/04/2020,10.07
newcases_per,27/04/2020,9.975
newcases_per,28/04/2020,9.972
newcases_per,29/04/2020,9.884
newcases_per,30/04/2020,9.881
newcases_per,01/05/2020,9.966
newcases_per,02/05/2020,9.906
newcases_per,03/05/2020,9.969
newcases_per,04/05/2020,10.095
newcases_per,05/05/2020,10.173
newcases_per,06/05/2020,10.417
newcases_per,07/05/2020,10.517
newcases_per,08/05/2020,10.553
newcases_per,09/05/2020,10.634
newcases_per,10/05/2020,10.649
newcases_per,11/05/2020,10.634
newcases_per,12/05/2020,10.712
newcases_per,13/05/2020,10.614
newcases_per,14/05/2020,10.74
newcases_per,15/05/2020,10.841
newcases_per,16/05/2020,11.025
newcases_per,17/05/2020,11.075
newcases_per,18/05/2020,11.299
newcases_per,19/05/2020,11.523
newcases_per,20/05/2020,11.89
newcases_per,21/05/2020,12.079
newcases_per,22/05/2020,12.282
newcases_per,23/05/2020,12.475
newcases_per,24/05/2020,12.748
newcases_per,25/05/2020,12.73
newcases_per,26/05/2020,12.658
newcases_per,27/05/2020,12.621
newcases_per,28/05/2020,12.877
newcases_per,29/05/2020,13.126
newcases_per,30/05/2020,13.688
newcases_per,31/05/2020,13.871
newcases_per,01/06/2020,14.08
newcases_per,02/06/2020,14.654
newcases_per,03/06/2020,14.808
newcases_per,04/06/2020,15.016
newcases_per,05/06/2020,15.22
newcases_per,06/06/2020,15.124
newcases_per,07/06/2020,15.275
newcases_per,08/06/2020,15.341
newcases_per,09/06/2020,15.336
newcases_per,10/06/2020,15.782
newcases_per,11/06/2020,15.849
newcases_per,12/06/2020,15.761
newcases_per,13/06/2020,15.832
newcases_per,14/06/2020,16.205
newcases_per,15/06/2020,16.557
newcases_per,16/06/2020,16.912
newcases_per,17/06/2020,17.044
newcases_per,18/06/2020,17.187
newcases_per,19/06/2020,18.166
newcases_per,20/06/2020,19.109
newcases_per,21/06/2020,18.399
newcases_per,22/06/2020,18.779
newcases_per,23/06/2020,19.204
newcases_per,24/06/2020,19.707
newcases_per,25/06/2020,20.378
newcases_per,26/06/2020,20.528
newcases_per,27/06/2020,20.355
newcases_per,28/06/2020,21.7
newcases_per,29/06/2020,21.841
newcases_per,30/06/2020,22.114
newcases_per,01/07/2020,22.951
