Ticker,Name,Country,Timespan,Change
VTI:NYSEARCA,Total Stock Market,World,1 Month,1.19%
VTI:NYSEARCA,Total Stock Market,World,6 Month,9.05%
VTI:NYSEARCA,Total Stock Market,World,1 Year,25.21%
VTI:NYSEARCA,Total Stock Market,World,5 Year,110.68%
.DJI:INDEXDJX,Dow Jones Industrial Average,USA (Top 30),1 Month,3.32%
.DJI:INDEXDJX,Dow Jones Industrial Average,USA (Top 30),6 Month,5.89%
.DJI:INDEXDJX,Dow Jones Industrial Average,USA (Top 30),1 Year,19.40%
.DJI:INDEXDJX,Dow Jones Industrial Average,USA (Top 30),5 Year,83.69%
.INX:INDEXSP,S&P 500,USA (Top 500),1 Month,2.92%
.INX:INDEXSP,S&P 500,USA (Top 500),6 Month,11.67%
.INX:INDEXSP,S&P 500,USA (Top 500),1 Year,28.27%
.INX:INDEXSP,S&P 500,USA (Top 500),5 Year,114%
UKX:INDEXFTSE,FTSE 100 ,UK,1 Month,3.69%
UKX:INDEXFTSE,FTSE 100 ,UK,6 Month,4.23%
UKX:INDEXFTSE,FTSE 100 ,UK,1 Year,11.65%
UKX:INDEXFTSE,FTSE 100 ,UK,5 Year,3.21%
NI225:INDEXNIKKEI,Nikkei 225,Japan ,1 Month,2.78%
NI225:INDEXNIKKEI,Nikkei 225,Japan ,6 Month,0.89%
NI225:INDEXNIKKEI,Nikkei 225,Japan ,1 Year,5.44%
NI225:INDEXNIKKEI,Nikkei 225,Japan ,5 Year,52.08%
000016:SHA,SSE 50,China,1 Month,3.65%
000016:SHA,SSE 50,China,6 Month,-5.15%
000016:SHA,SSE 50,China,1 Year,-6.08%
000016:SHA,SSE 50,China,5 Year,44.45%
NIFTY_50:INDEXNSE,NIFTY 50,India,1 Month,1.05%
NIFTY_50:INDEXNSE,NIFTY 50,India,6 Month,9.43%
NIFTY_50:INDEXNSE,NIFTY 50,India,1 Year,23.69%
NIFTY_50:INDEXNSE,NIFTY 50,India,5 Year,110.53%
KOSPI100:KRX,KOSPI 100,South Korea,1 Month,5.25%
KOSPI100:KRX,KOSPI 100,South Korea,6 Month,-8.33%
KOSPI100:KRX,KOSPI 100,South Korea,1 Year,4.06%
KOSPI100:KRX,KOSPI 100,South Korea,5 Year,52.81%
