date,small_cap,large_cap,mid_cap,cons_disc,IT,materials,healthcare,industrials,utilities,cons_stap,energy,financials
22/01/2020,100,100,100,100,100,100,100,100,100,100,100,100
23/01/2020,99.65588899,99.84026846,99.77936828,99.61441862,100.3583576,99.04368535,99.51518956,100.1423589,100.6987179,99.67843137,99.4874745,99.59436889
24/01/2020,99.04810851,99.37248322,99.42316766,98.78311932,100.1123664,98.95065863,98.37466429,100.3345434,101.2884615,99.54509804,98.83374301,98.94217768
25/01/2020,,,,,,,,,,,,
26/01/2020,,,,,,,,,,,,
27/01/2020,97.60016088,97.73489933,97.84817613,96.97194807,97.71319242,96.64731711,97.39109204,98.43761122,100.7371795,98.74901961,96.4698499,97.39918874
28/01/2020,98.02024445,98.45167785,98.35589492,97.68297428,99.25898931,96.79988093,97.88287817,98.67250338,101.1858974,98.82352941,96.70519324,98.17068321
29/01/2020,97.90628561,98.50604027,98.33064189,97.6758994,99.46550049,97.31710947,97.93519584,99.3095594,101.474359,98.49019608,95.98870352,98.17068321
30/01/2020,97.5107814,98.47986577,98.0867508,97.43889066,99.94837221,96.66964352,97.20623627,98.92163143,102.0128205,98.91764706,95.71675122,98.59222143
31/01/2020,96.48068286,97.22416107,96.99688324,97.78202271,97.55527211,95.71704994,95.90527013,97.63328351,101.6282051,98.34509804,93.48360441,97.27193192
01/02/2020,,,,,,,,,,,,
02/02/2020,,,,,,,,,,,,
03/02/2020,96.7331799,97.6147651,97.29194495,98.35155117,98.67893586,95.99985116,96.48425238,97.49804257,101.9102564,98.29019608,92.17614142,97.4548636
04/02/2020,97.96214779,98.95973154,98.49678024,100.0919735,101.0841837,97.40641512,97.88636601,98.94298527,101.1858974,98.99607843,92.91355055,98.53654657
05/02/2020,99.00341877,99.8738255,99.31683912,100.1556475,101.6976433,98.83158443,99.4942625,100.131682,101.6282051,99.42745098,95.35066158,99.96023224
06/02/2020,99.01012223,100.4127517,99.49028755,100.4457179,102.5662051,99.21857557,99.8290956,100.5018151,101.9423077,99.8627451,94.56095393,100.4294918
07/02/2020,98.14314124,99.97516779,98.75728517,99.87618947,101.6520894,97.77852199,99.23616198,99.92170261,101.7179487,99.78431373,93.8444642,100.2226994
08/02/2020,,,,,,,,,,,,
09/02/2020,,,,,,,,,,,,
10/02/2020,98.3755279,100.3630872,98.89750593,100.4881673,102.7453839,97.5403736,99.58145862,99.99288206,101.8782051,99.9254902,93.02860729,100.1829317
11/02/2020,99.04363953,100.6275168,99.60525529,101.1107574,102.6390914,98.42226688,100.111611,100.4555484,102.4551282,99.70588235,93.94383139,100.7874016
12/02/2020,99.66706143,101.2214765,100.0438605,102.1896777,103.7323858,98.9655429,100.1430016,100.90042,102.2564103,99.50980392,95.04210031,101.1373578
13/02/2020,99.7586754,100.9892617,99.94617118,102.016343,103.4803207,98.57855176,99.74887517,100.3309844,102.9038462,99.52941176,94.18963443,101.0896365
14/02/2020,99.68493732,101.033557,100.0917084,101.6413739,103.8568999,98.24365558,99.69306965,100.1210051,103.7692308,99.88235294,93.59343131,101.1453114
15/02/2020,,,,,,,,,,,,
16/02/2020,,,,,,,,,,,,
17/02/2020,99.5508681,101.0181208,100.0013291,101.5670876,103.7718659,98.16179207,99.63726413,100.0177949,104.0576923,99.80784314,93.71894775,101.2089398
18/02/2020,99.10620517,100.6402685,99.59329333,101.3972903,103.2646987,97.62595818,99.46635974,99.28108762,104.8012821,99.57647059,92.97630877,100.3340492
19/02/2020,99.48606797,101.0771812,99.83651987,102.0234179,104.3276239,97.79712733,99.97558509,99.32379529,104.2884615,99.72156863,93.90722243,100.5965163
20/02/2020,99.39221952,100.5711409,99.62718555,101.8394708,103.2859572,97.65572672,99.32684594,99.01416471,104.0576923,99.32156863,93.75555672,100.2545136
21/02/2020,98.74645275,99.84295302,98.93339181,100.725176,101.2238824,97.51432611,99.40706637,98.67606235,104.2948718,99.47058824,92.67297735,99.6579973
22/02/2020,,,,,,,,,,,,
23/02/2020,,,,,,,,,,,,
