sector,date,value,index
Consumer Discretionary,22/01/2020,282.69,100
Consumer Discretionary,23/01/2020,281.6,99.61441862
Consumer Discretionary,24/01/2020,279.25,98.78311932
Consumer Discretionary,25/01/2020,,0
Consumer Discretionary,26/01/2020,,0
Consumer Discretionary,27/01/2020,274.13,96.97194807
Consumer Discretionary,28/01/2020,276.14,97.68297428
Consumer Discretionary,29/01/2020,276.12,97.6758994
Consumer Discretionary,30/01/2020,275.45,97.43889066
Consumer Discretionary,31/01/2020,276.42,97.78202271
Consumer Discretionary,01/02/2020,,0
Consumer Discretionary,02/02/2020,,0
Consumer Discretionary,03/02/2020,278.03,98.35155117
Consumer Discretionary,04/02/2020,282.95,100.0919735
Consumer Discretionary,05/02/2020,283.13,100.1556475
Consumer Discretionary,06/02/2020,283.95,100.4457179
Consumer Discretionary,07/02/2020,282.34,99.87618947
Consumer Discretionary,08/02/2020,,0
Consumer Discretionary,09/02/2020,,0
Consumer Discretionary,10/02/2020,284.07,100.4881673
Consumer Discretionary,11/02/2020,285.83,101.1107574
Consumer Discretionary,12/02/2020,288.88,102.1896777
Consumer Discretionary,13/02/2020,288.39,102.016343
Consumer Discretionary,14/02/2020,287.33,101.6413739
Consumer Discretionary,15/02/2020,,0
Consumer Discretionary,16/02/2020,,0
Consumer Discretionary,17/02/2020,287.12,101.5670876
Consumer Discretionary,18/02/2020,286.64,101.3972903
Consumer Discretionary,19/02/2020,288.41,102.0234179
Consumer Discretionary,20/02/2020,287.89,101.8394708
Consumer Discretionary,21/02/2020,284.74,100.725176
Consumer Discretionary,22/02/2020,,0
Consumer Discretionary,23/02/2020,,0
Consumer Discretionary,24/02/2020,275.29,97.38229156
Consumer Discretionary,25/02/2020,268.58,95.00866674
Consumer Discretionary,26/02/2020,266.8,94.37900173
Consumer Discretionary,27/02/2020,256.89,90.87339488
Consumer Discretionary,28/02/2020,253.87,89.80508684
Consumer Discretionary,29/02/2020,,0
Consumer Discretionary,01/03/2020,,0
Consumer Discretionary,02/03/2020,260.53,92.16102444
Consumer Discretionary,03/03/2020,257.34,91.03257986
Consumer Discretionary,04/03/2020,262.83,92.97463653
Consumer Discretionary,05/03/2020,256.01,90.56209983
Consumer Discretionary,06/03/2020,251.66,89.02331175
Consumer Discretionary,07/03/2020,,0
Consumer Discretionary,08/03/2020,,0
Consumer Discretionary,09/03/2020,236.72,83.73837065
Consumer Discretionary,10/03/2020,243.98,86.30655488
