sector,date,value,index
small-cap,22/01/2020,447.53,100
small-cap,23/01/2020,445.99,99.65588899
small-cap,24/01/2020,443.27,99.04810851
small-cap,25/01/2020,,0
small-cap,26/01/2020,,0
small-cap,27/01/2020,436.79,97.60016088
small-cap,28/01/2020,438.67,98.02024445
small-cap,29/01/2020,438.16,97.90628561
small-cap,30/01/2020,436.39,97.5107814
small-cap,31/01/2020,431.78,96.48068286
small-cap,01/02/2020,,0
small-cap,02/02/2020,,0
small-cap,03/02/2020,432.91,96.7331799
small-cap,04/02/2020,438.41,97.96214779
small-cap,05/02/2020,443.07,99.00341877
small-cap,06/02/2020,443.1,99.01012223
small-cap,07/02/2020,439.22,98.14314124
small-cap,08/02/2020,,0
small-cap,09/02/2020,,0
small-cap,10/02/2020,440.26,98.3755279
small-cap,11/02/2020,443.25,99.04363953
small-cap,12/02/2020,446.04,99.66706143
small-cap,13/02/2020,446.45,99.7586754
small-cap,14/02/2020,446.12,99.68493732
small-cap,15/02/2020,,0
small-cap,16/02/2020,,0
small-cap,17/02/2020,445.52,99.5508681
small-cap,18/02/2020,443.53,99.10620517
small-cap,19/02/2020,445.23,99.48606797
small-cap,20/02/2020,444.81,99.39221952
small-cap,21/02/2020,441.92,98.74645275
small-cap,22/02/2020,,0
small-cap,23/02/2020,,0
small-cap,24/02/2020,429.98,96.07847519
small-cap,25/02/2020,417.85,93.36804237
small-cap,26/02/2020,412.97,92.27761267
small-cap,27/02/2020,399.98,89.37501397
small-cap,28/02/2020,391.74,87.53379662
small-cap,29/02/2020,,0
small-cap,01/03/2020,,0
small-cap,02/03/2020,400.12,89.40629678
small-cap,03/03/2020,397.38,88.79404733
small-cap,04/03/2020,404.15,90.30679508
small-cap,05/03/2020,395.28,88.32480504
small-cap,06/03/2020,386.74,86.41655308
small-cap,07/03/2020,,0
small-cap,08/03/2020,,0
small-cap,09/03/2020,356.05,79.55891225
small-cap,10/03/2020,361.58,80.7945836
small-cap,11/03/2020,344.07,76.88199674
small-cap,12/03/2020,307.69,68.75293276
small-cap,13/03/2020,318.08,71.07456483
small-cap,14/03/2020,,0
small-cap,15/03/2020,,0
small-cap,16/03/2020,284.54,63.58009519
small-cap,17/03/2020,291.37,65.10624986
small-cap,18/03/2020,267.94,59.87084665
small-cap,19/03/2020,275.72,61.60927759
small-cap,20/03/2020,271.29,60.61939982
small-cap,21/03/2020,,0
small-cap,22/03/2020,,0
small-cap,23/03/2020,264.92,59.19603155
small-cap,24/03/2020,287.91,64.33311733
small-cap,25/03/2020,297.81,66.54525954
small-cap,26/03/2020,312.33,69.78973477
small-cap,27/03/2020,306.1,68.39764932
small-cap,28/03/2020,,0
small-cap,29/03/2020,,0
small-cap,30/03/2020,309.38,69.13056108
small-cap,31/03/2020,309.43,69.14173352
small-cap,01/04/2020,294.99,65.91513418
small-cap,02/04/2020,294.98,65.91289969
small-cap,03/04/2020,,0
small-cap,04/04/2020,,0
small-cap,05/04/2020,287.74,64.29513105
small-cap,06/04/2020,305.06,68.16526266
small-cap,07/04/2020,310.81,69.45009273
small-cap,08/04/2020,320.91,71.70692468
small-cap,09/04/2020,331.42,74.05537059
small-cap,10/04/2020,331.96,74.17603289
small-cap,11/04/2020,,0
small-cap,12/04/2020,,0
small-cap,13/04/2020,331.14,73.99280495
small-cap,14/04/2020,320.51,71.61754519
small-cap,15/04/2020,320.87,71.69798673
small-cap,16/04/2020,332.8,74.36372981
small-cap,17/04/2020,326.63,72.98505128
small-cap,18/04/2020,,0
small-cap,19/04/2020,,0
small-cap,20/04/2020,328.82,73.47440395
small-cap,21/04/2020,320.32,71.57508994
small-cap,22/04/2020,323.66,72.32140862
small-cap,23/04/2020,328.42,73.38502447
small-cap,24/04/2020,330.28,73.80063906
small-cap,25/04/2020,,0
small-cap,26/04/2020,,0
small-cap,27/04/2020,340.5,76.08428485
small-cap,28/04/2020,344.55,76.98925212
small-cap,29/04/2020,356.42,79.64158827
small-cap,30/04/2020,350.66,78.35452372
small-cap,01/05/2020,341.23,76.24740241
small-cap,02/05/2020,,0
small-cap,03/05/2020,,0
small-cap,04/05/2020,339.2,75.79380153
small-cap,05/05/2020,342.32,76.4909615
small-cap,06/05/2020,340.91,76.17589882
small-cap,07/05/2020,345.19,77.13225929
small-cap,08/05/2020,354.74,79.26619445
small-cap,09/05/2020,,0
small-cap,10/05/2020,,0
small-cap,11/05/2020,353.2,78.92208344
small-cap,12/05/2020,345.81,77.27079749
small-cap,13/05/2020,336.88,75.27540053
small-cap,14/05/2020,334.94,74.84191004
small-cap,15/05/2020,338.52,75.64185641
small-cap,16/05/2020,,0
small-cap,17/05/2020,,0
small-cap,18/05/2020,353.17,78.91537997
small-cap,19/05/2020,352.38,78.7388555
small-cap,20/05/2020,359.36,80.29852747
small-cap,21/05/2020,358.93,80.20244453
small-cap,22/05/2020,359.19,80.26054119
small-cap,23/05/2020,,0
small-cap,24/05/2020,,0
small-cap,25/05/2020,361.63,80.80575604
small-cap,26/05/2020,371.12,82.92628427
small-cap,27/05/2020,376.62,84.15525216
small-cap,28/05/2020,375.36,83.87370679
small-cap,29/05/2020,374.95,83.78209282
small-cap,30/05/2020,,0
small-cap,31/05/2020,,0
small-cap,01/06/2020,379.88,84.88369495
small-cap,02/06/2020,384.55,85.92720041
small-cap,03/06/2020,393.21,87.86226622
small-cap,04/06/2020,394.39,88.12593569
small-cap,05/06/2020,404.18,90.31349854
small-cap,06/06/2020,,0
small-cap,07/06/2020,,0
small-cap,08/06/2020,410.75,91.78155654
small-cap,09/06/2020,404.51,90.38723661
small-cap,10/06/2020,397.63,88.8499095
small-cap,11/06/2020,375.02,83.79773423
small-cap,12/06/2020,378.15,84.49712868
small-cap,13/06/2020,,0
small-cap,14/06/2020,,0
small-cap,15/06/2020,381.07,85.14959891
small-cap,16/06/2020,390.68,87.29694099
small-cap,17/06/2020,387.69,86.62882935
small-cap,18/06/2020,387.04,86.48358769
small-cap,19/06/2020,385.4,86.11713181
small-cap,20/06/2020,,0
small-cap,21/06/2020,,0
small-cap,22/06/2020,386.9,86.45230487
small-cap,23/06/2020,390.22,87.19415458
small-cap,24/06/2020,379.04,84.69599803
small-cap,25/06/2020,380.55,85.03340558
small-cap,26/06/2020,375.44,83.89158269
small-cap,27/06/2020,,0
small-cap,28/06/2020,,0
small-cap,29/06/2020,380.09,84.93061918
small-cap,30/06/2020,384.08,85.82217952
small-cap,01/07/2020,383.25,85.63671709
small-cap,02/07/2020,385.23,86.07914553
small-cap,03/07/2020,385.61,86.16405604
small-cap,04/07/2020,,0
small-cap,05/07/2020,,0
small-cap,06/07/2020,390.36,87.2254374
small-cap,07/07/2020,385.56,86.15288361
small-cap,08/07/2020,386.56,86.37633231
small-cap,09/07/2020,381.87,85.32835788
small-cap,10/07/2020,384.86,85.99646951
small-cap,11/07/2020,,0
small-cap,12/07/2020,,0
small-cap,13/07/2020,383.69,85.73503452
small-cap,14/07/2020,385.79,86.20427681
small-cap,15/07/2020,396.2,88.53037785
small-cap,16/07/2020,393.86,88.00750788
small-cap,17/07/2020,394.78,88.21308069
small-cap,18/07/2020,,0
small-cap,19/07/2020,,0
small-cap,20/07/2020,395.59,88.39407414
small-cap,21/07/2020,400.47,89.48450383
small-cap,22/07/2020,401.62,89.74146985
small-cap,23/07/2020,401.72,89.76381472
small-cap,24/07/2020,398.02,88.9370545
small-cap,25/07/2020,,0
small-cap,26/07/2020,,0
small-cap,27/07/2020,402.16,89.86213215
small-cap,28/07/2020,399.89,89.35490358
small-cap,29/07/2020,404.57,90.40064353
small-cap,30/07/2020,401.85,89.79286305
