sector,date,value
small-cap,22/01/2020,447.53
small-cap,23/01/2020,445.99
small-cap,24/01/2020,443.27
small-cap,25/01/2020,
small-cap,26/01/2020,
small-cap,27/01/2020,436.79
small-cap,28/01/2020,438.67
small-cap,29/01/2020,438.16
small-cap,30/01/2020,436.39
small-cap,31/01/2020,431.78
small-cap,01/02/2020,
small-cap,02/02/2020,
small-cap,03/02/2020,432.91
small-cap,04/02/2020,438.41
small-cap,05/02/2020,443.07
small-cap,06/02/2020,443.1
small-cap,07/02/2020,439.22
small-cap,08/02/2020,
small-cap,09/02/2020,
small-cap,10/02/2020,440.26
small-cap,11/02/2020,443.25
small-cap,12/02/2020,446.04
small-cap,13/02/2020,446.45
small-cap,14/02/2020,446.12
small-cap,15/02/2020,
small-cap,16/02/2020,
small-cap,17/02/2020,445.52
small-cap,18/02/2020,443.53
small-cap,19/02/2020,445.23
small-cap,20/02/2020,444.81
small-cap,21/02/2020,441.92
small-cap,22/02/2020,
small-cap,23/02/2020,
small-cap,24/02/2020,429.98
small-cap,25/02/2020,417.85
small-cap,26/02/2020,412.97
small-cap,27/02/2020,399.98
small-cap,28/02/2020,391.74
small-cap,29/02/2020,
small-cap,01/03/2020,
small-cap,02/03/2020,400.12
small-cap,03/03/2020,397.38
small-cap,04/03/2020,404.15
small-cap,05/03/2020,395.28
small-cap,06/03/2020,386.74
small-cap,07/03/2020,
small-cap,08/03/2020,
small-cap,09/03/2020,356.05
small-cap,10/03/2020,361.58
small-cap,11/03/2020,344.07
small-cap,12/03/2020,307.69
small-cap,13/03/2020,318.08
small-cap,14/03/2020,
small-cap,15/03/2020,
small-cap,16/03/2020,284.54
small-cap,17/03/2020,291.37
small-cap,18/03/2020,267.94
small-cap,19/03/2020,275.72
small-cap,20/03/2020,271.29
small-cap,21/03/2020,
small-cap,22/03/2020,
small-cap,23/03/2020,264.92
small-cap,24/03/2020,287.91
small-cap,25/03/2020,297.81
small-cap,26/03/2020,312.33
small-cap,27/03/2020,306.1
small-cap,28/03/2020,
small-cap,29/03/2020,
small-cap,30/03/2020,309.38
small-cap,31/03/2020,309.43
small-cap,01/04/2020,294.99
small-cap,02/04/2020,294.98
small-cap,03/04/2020,
small-cap,04/04/2020,
small-cap,05/04/2020,287.74
small-cap,06/04/2020,305.06
small-cap,07/04/2020,310.81
small-cap,08/04/2020,320.91
small-cap,09/04/2020,331.42
small-cap,10/04/2020,331.96
small-cap,11/04/2020,
small-cap,12/04/2020,
small-cap,13/04/2020,
small-cap,14/04/2020,
small-cap,15/04/2020,
small-cap,16/04/2020,
small-cap,17/04/2020,
small-cap,18/04/2020,
small-cap,19/04/2020,
small-cap,20/04/2020,328.82
small-cap,21/04/2020,320.32
small-cap,22/04/2020,323.66
small-cap,23/04/2020,328.42
small-cap,24/04/2020,330.28
small-cap,25/04/2020,
small-cap,26/04/2020,
small-cap,27/04/2020,340.5
small-cap,28/04/2020,344.55
small-cap,29/04/2020,356.42
small-cap,30/04/2020,350.66
small-cap,01/05/2020,341.23
small-cap,02/05/2020,
small-cap,03/05/2020,
small-cap,04/05/2020,339.2
small-cap,05/05/2020,342.32
small-cap,06/05/2020,340.91
small-cap,07/05/2020,345.19
small-cap,08/05/2020,354.74
small-cap,09/05/2020,
small-cap,10/05/2020,
small-cap,11/05/2020,353.2
small-cap,12/05/2020,345.81
small-cap,13/05/2020,336.88
small-cap,14/05/2020,334.94
small-cap,15/05/2020,338.52
small-cap,16/05/2020,
small-cap,17/05/2020,
small-cap,18/05/2020,353.17
small-cap,19/05/2020,352.38
small-cap,20/05/2020,359.36
small-cap,21/05/2020,358.93
small-cap,22/05/2020,359.19
small-cap,23/05/2020,
small-cap,24/05/2020,
small-cap,25/05/2020,361.63
small-cap,26/05/2020,371.12
small-cap,27/05/2020,376.62
small-cap,28/05/2020,375.36
small-cap,29/05/2020,374.95
small-cap,30/05/2020,
small-cap,31/05/2020,
small-cap,01/06/2020,379.88
small-cap,02/06/2020,384.55
small-cap,03/06/2020,393.21
small-cap,04/06/2020,394.39
small-cap,05/06/2020,404.18
small-cap,06/06/2020,
small-cap,07/06/2020,
small-cap,08/06/2020,410.75
small-cap,09/06/2020,404.51
small-cap,10/06/2020,397.63
small-cap,11/06/2020,375.02
small-cap,12/06/2020,378.15
small-cap,13/06/2020,
small-cap,14/06/2020,
small-cap,15/06/2020,381.07
small-cap,16/06/2020,390.68
small-cap,17/06/2020,387.69
small-cap,18/06/2020,387.04
small-cap,19/06/2020,385.4
small-cap,20/06/2020,
small-cap,21/06/2020,
small-cap,22/06/2020,386.9
small-cap,23/06/2020,390.22
small-cap,24/06/2020,379.04
small-cap,25/06/2020,380.55
small-cap,26/06/2020,375.44
small-cap,27/06/2020,
small-cap,28/06/2020,
small-cap,29/06/2020,380.09
small-cap,30/06/2020,384.08
small-cap,01/07/2020,383.25
small-cap,02/07/2020,385.23
small-cap,03/07/2020,385.61
small-cap,04/07/2020,
small-cap,05/07/2020,
small-cap,06/07/2020,390.36
small-cap,07/07/2020,385.56
small-cap,08/07/2020,386.56
small-cap,09/07/2020,381.87
small-cap,10/07/2020,384.86
small-cap,11/07/2020,
small-cap,12/07/2020,
small-cap,13/07/2020,383.69
small-cap,14/07/2020,385.79
small-cap,15/07/2020,396.2
small-cap,16/07/2020,393.86
small-cap,17/07/2020,394.78
small-cap,18/07/2020,
small-cap,19/07/2020,
small-cap,20/07/2020,395.59
small-cap,21/07/2020,400.47
small-cap,22/07/2020,401.62
small-cap,23/07/2020,401.72
small-cap,24/07/2020,398.02
small-cap,25/07/2020,
small-cap,26/07/2020,
small-cap,27/07/2020,402.16
small-cap,28/07/2020,399.89
small-cap,29/07/2020,404.57
small-cap,30/07/2020,401.85
small-cap,31/07/2020,398.85
small-cap,01/08/2020,
small-cap,02/08/2020,
small-cap,03/08/2020,403.68
small-cap,04/08/2020,407.22
small-cap,05/08/2020,414.01
small-cap,06/08/2020,412.91
small-cap,07/08/2020,414.42
small-cap,08/08/2020,
small-cap,09/08/2020,
small-cap,10/08/2020,416.19
small-cap,11/08/2020,416.87
