areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-10-12,145,137824
overview,United Kingdom,K02000001,2021-10-11,123,137802
overview,United Kingdom,K02000001,2021-10-10,102,137781
overview,United Kingdom,K02000001,2021-10-08,20,137693
overview,United Kingdom,K02000001,2021-10-07,74,137673
overview,United Kingdom,K02000001,2021-10-06,69,137599
overview,United Kingdom,K02000001,2021-10-05,90,137530
overview,United Kingdom,K02000001,2021-10-04,91,137440
overview,United Kingdom,K02000001,2021-10-03,86,137349
overview,United Kingdom,K02000001,2021-10-02,98,137263
overview,United Kingdom,K02000001,2021-10-01,109,137165
overview,United Kingdom,K02000001,2021-09-30,108,137056
overview,United Kingdom,K02000001,2021-09-29,118,136948
overview,United Kingdom,K02000001,2021-09-28,104,136830
overview,United Kingdom,K02000001,2021-09-27,111,136726
overview,United Kingdom,K02000001,2021-09-26,92,136615
overview,United Kingdom,K02000001,2021-09-25,122,136523
overview,United Kingdom,K02000001,2021-09-24,125,136401
overview,United Kingdom,K02000001,2021-09-23,137,136276
overview,United Kingdom,K02000001,2021-09-22,142,136139
overview,United Kingdom,K02000001,2021-09-21,120,135997
overview,United Kingdom,K02000001,2021-09-20,133,135877
overview,United Kingdom,K02000001,2021-09-19,125,135744
overview,United Kingdom,K02000001,2021-09-18,122,135619
overview,United Kingdom,K02000001,2021-09-17,171,135497
overview,United Kingdom,K02000001,2021-09-16,150,135326
overview,United Kingdom,K02000001,2021-09-15,142,135176
overview,United Kingdom,K02000001,2021-09-14,154,135034
overview,United Kingdom,K02000001,2021-09-13,110,134880
overview,United Kingdom,K02000001,2021-09-12,139,134770
overview,United Kingdom,K02000001,2021-09-11,136,134631
overview,United Kingdom,K02000001,2021-09-10,144,134495
overview,United Kingdom,K02000001,2021-09-09,162,134351
overview,United Kingdom,K02000001,2021-09-08,139,134189
overview,United Kingdom,K02000001,2021-09-07,155,134050
overview,United Kingdom,K02000001,2021-09-06,137,133895
overview,United Kingdom,K02000001,2021-09-05,154,133758
overview,United Kingdom,K02000001,2021-09-04,132,133604
overview,United Kingdom,K02000001,2021-09-03,147,133472
overview,United Kingdom,K02000001,2021-09-02,127,133325
overview,United Kingdom,K02000001,2021-09-01,116,133198
overview,United Kingdom,K02000001,2021-08-31,115,133082
overview,United Kingdom,K02000001,2021-08-30,106,132967
overview,United Kingdom,K02000001,2021-08-29,128,132861
overview,United Kingdom,K02000001,2021-08-28,122,132733
overview,United Kingdom,K02000001,2021-08-27,127,132611
overview,United Kingdom,K02000001,2021-08-26,115,132484
overview,United Kingdom,K02000001,2021-08-25,101,132369
overview,United Kingdom,K02000001,2021-08-24,113,132268
overview,United Kingdom,K02000001,2021-08-23,113,132155
overview,United Kingdom,K02000001,2021-08-22,116,132042
overview,United Kingdom,K02000001,2021-08-21,104,131926
overview,United Kingdom,K02000001,2021-08-20,117,131822
overview,United Kingdom,K02000001,2021-08-19,107,131705
overview,United Kingdom,K02000001,2021-08-18,98,131598
overview,United Kingdom,K02000001,2021-08-17,106,131500
overview,United Kingdom,K02000001,2021-08-16,78,131394
overview,United Kingdom,K02000001,2021-08-15,84,131316
overview,United Kingdom,K02000001,2021-08-14,93,131232
overview,United Kingdom,K02000001,2021-08-13,104,131139
overview,United Kingdom,K02000001,2021-08-12,106,131035
overview,United Kingdom,K02000001,2021-08-11,87,130929
overview,United Kingdom,K02000001,2021-08-10,81,130842
overview,United Kingdom,K02000001,2021-08-09,79,130761
overview,United Kingdom,K02000001,2021-08-08,79,130682
overview,United Kingdom,K02000001,2021-08-07,95,130603
overview,United Kingdom,K02000001,2021-08-06,93,130508
overview,United Kingdom,K02000001,2021-08-05,99,130415
overview,United Kingdom,K02000001,2021-08-04,79,130316
overview,United Kingdom,K02000001,2021-08-03,74,130237
overview,United Kingdom,K02000001,2021-08-02,79,130163
overview,United Kingdom,K02000001,2021-08-01,93,130084
overview,United Kingdom,K02000001,2021-07-31,89,129991
overview,United Kingdom,K02000001,2021-07-30,105,129902
overview,United Kingdom,K02000001,2021-07-29,77,129797
overview,United Kingdom,K02000001,2021-07-28,86,129720
overview,United Kingdom,K02000001,2021-07-27,73,129634
overview,United Kingdom,K02000001,2021-07-26,74,129561
overview,United Kingdom,K02000001,2021-07-25,71,129487
overview,United Kingdom,K02000001,2021-07-24,71,129416
overview,United Kingdom,K02000001,2021-07-23,81,129345
overview,United Kingdom,K02000001,2021-07-22,76,129264
overview,United Kingdom,K02000001,2021-07-21,54,129188
overview,United Kingdom,K02000001,2021-07-20,58,129134
overview,United Kingdom,K02000001,2021-07-19,83,129076
overview,United Kingdom,K02000001,2021-07-18,66,128993
overview,United Kingdom,K02000001,2021-07-17,52,128927
overview,United Kingdom,K02000001,2021-07-16,50,128875
overview,United Kingdom,K02000001,2021-07-15,52,128825
overview,United Kingdom,K02000001,2021-07-14,42,128773
overview,United Kingdom,K02000001,2021-07-13,49,128731
overview,United Kingdom,K02000001,2021-07-12,39,128682
overview,United Kingdom,K02000001,2021-07-11,33,128643
overview,United Kingdom,K02000001,2021-07-10,42,128610
overview,United Kingdom,K02000001,2021-07-09,47,128568
overview,United Kingdom,K02000001,2021-07-08,38,128521
overview,United Kingdom,K02000001,2021-07-07,29,128483
overview,United Kingdom,K02000001,2021-07-06,32,128454
overview,United Kingdom,K02000001,2021-07-05,28,128422
overview,United Kingdom,K02000001,2021-07-04,28,128394
overview,United Kingdom,K02000001,2021-07-03,28,128366
overview,United Kingdom,K02000001,2021-07-02,27,128338
overview,United Kingdom,K02000001,2021-07-01,21,128311
overview,United Kingdom,K02000001,2021-06-30,21,128290
overview,United Kingdom,K02000001,2021-06-29,23,128269
overview,United Kingdom,K02000001,2021-06-28,12,128246
overview,United Kingdom,K02000001,2021-06-27,20,128234
overview,United Kingdom,K02000001,2021-06-26,17,128214
overview,United Kingdom,K02000001,2021-06-25,20,128197
overview,United Kingdom,K02000001,2021-06-24,21,128177
overview,United Kingdom,K02000001,2021-06-23,7,128156
overview,United Kingdom,K02000001,2021-06-22,13,128149
overview,United Kingdom,K02000001,2021-06-21,16,128136
overview,United Kingdom,K02000001,2021-06-20,23,128120
overview,United Kingdom,K02000001,2021-06-19,22,128097
overview,United Kingdom,K02000001,2021-06-18,13,128075
overview,United Kingdom,K02000001,2021-06-17,6,128062
overview,United Kingdom,K02000001,2021-06-16,11,128056
overview,United Kingdom,K02000001,2021-06-15,19,128045
overview,United Kingdom,K02000001,2021-06-14,9,128026
overview,United Kingdom,K02000001,2021-06-13,10,128017
overview,United Kingdom,K02000001,2021-06-12,13,128007
overview,United Kingdom,K02000001,2021-06-11,6,127994
overview,United Kingdom,K02000001,2021-06-10,11,127988
overview,United Kingdom,K02000001,2021-06-09,7,127977
overview,United Kingdom,K02000001,2021-06-08,8,127970
overview,United Kingdom,K02000001,2021-06-07,5,127962
overview,United Kingdom,K02000001,2021-06-06,6,127957
overview,United Kingdom,K02000001,2021-06-05,5,127951
overview,United Kingdom,K02000001,2021-06-04,9,127946
overview,United Kingdom,K02000001,2021-06-03,12,127937
overview,United Kingdom,K02000001,2021-06-02,10,127925
