date,cases,price
03/04/2020,1126238,120.24
06/04/2020,1330151,128.65
07/04/2020,1399552,128.79
08/04/2020,1482877,133.32
09/04/2020,1570233,135.81
13/04/2020,1920621,134.19
14/04/2020,2004469,138.27
15/04/2020,2082629,135.02
16/04/2020,2178015,135.65
17/04/2020,2266210,139.49
20/04/2020,2495724,137.23
21/04/2020,2571680,132.97
22/04/2020,2653519,135.98
23/04/2020,2737032,136.00
24/04/2020,2820960,138.02
27/04/2020,3045572,140.47
28/04/2020,3121378,140.03
29/04/2020,3198365,144.00
30/04/2020,3281736,142.12
01/05/2020,3370333,138.20
04/05/2020,3602083,138.72
05/05/2020,3682186,140.01
06/05/2020,3772588,139.24
07/05/2020,3861478,141.06
08/05/2020,3952059,143.71
11/05/2020,4188263,143.73
12/05/2020,4272702,140.67
13/05/2020,4357656,137.85
14/05/2020,4453534,139.33
15/05/2020,4549685,140.17
18/05/2020,4811104,144.81
19/05/2020,4907901,143.27
20/05/2020,5013067,145.93
21/05/2020,5119375,145.05
22/05/2020,5226717,145.46
26/05/2020,5605650,147.48
27/05/2020,5708786,149.81
28/05/2020,5829223,149.30
29/05/2020,5950300,149.79
01/06/2020,6289009,150.81
02/06/2020,6413458,151.95
03/06/2020,6525093,154.32
04/06/2020,6656964,153.83
05/06/2020,6789305,157.78
08/06/2020,7134696,159.92
09/06/2020,7258855,158.46
10/06/2020,7395052,157.28
11/06/2020,7530618,148.00
12/06/2020,7658132,150.05
15/06/2020,8047404,151.66
16/06/2020,8191114,154.57
17/06/2020,8334608,153.82
18/06/2020,8478044,153.95
19/06/2020,8659520,153.08
22/06/2020,9082592,154.14
23/06/2020,9249716,154.75
24/06/2020,9420935,150.54
25/06/2020,9601355,152.37
26/06/2020,9791111,148.82
29/06/2020,10286558,151.00
30/06/2020,10468731,153.24
01/07/2020,10686130,154.13
02/07/2020,10892150,154.74
06/07/2020,11639014,157.18
07/07/2020,11850135,155.59
08/07/2020,12064615,156.86
09/07/2020,12289881,155.89
10/07/2020,12521837,157.56
13/07/2020,13121468,155.86
14/07/2020,13343327,157.91
15/07/2020,13574514,159.86
16/07/2020,13824666,159.15
17/07/2020,14067900,159.76
20/07/2020,14724557,160.98
21/07/2020,14965068,161.44
22/07/2020,15243196,162.28
23/07/2020,15523272,160.51
24/07/2020,15806186,159.27
27/07/2020,16501708,160.64
28/07/2020,16764890,159.46
29/07/2020,17039509,161.58
30/07/2020,17319995,161.22
31/07/2020,17611660,162.04
03/08/2020,18298549,163.45
04/08/2020,18557353,164.09
05/08/2020,18834389,165.29
06/08/2020,19118243,166.09
07/08/2020,19401409,166.23
10/08/2020,20112182,166.69
11/08/2020,20372810,165.35
12/08/2020,20646017,167.56
13/08/2020,20936054,167.43
14/08/2020,21238218,167.38
17/08/2020,21910927,168.10
18/08/2020,22168549,168.35
19/08/2020,22444282,167.70
20/08/2020,22715135,168.18
21/08/2020,22978288,168.60
24/08/2020,23674748,170.21
25/08/2020,23918540,170.78
26/08/2020,24201837,172.33
27/08/2020,24484701,172.74
28/08/2020,24768738,173.94
31/08/2020,25514266,173.55
01/09/2020,25781979,175.09
02/09/2020,26064627,177.43
03/09/2020,26349263,171.26
04/09/2020,26652963,169.80
08/09/2020,27619027,165.03
09/09/2020,27905607,168.26
10/09/2020,28205640,165.50
11/09/2020,28525181,165.56
14/09/2020,29319876,168.15
15/09/2020,29603174,169.11
