date,cases,price
22/01/2020,557,163.40
23/01/2020,655,163.58
24/01/2020,941,162.03
27/01/2020,2927,159.59
28/01/2020,5578,161.14
29/01/2020,6167,161.03
30/01/2020,8235,161.42
31/01/2020,9927,158.57
03/02/2020,19887,159.96
04/02/2020,23898,162.48
05/02/2020,27643,164.08
06/02/2020,30805,164.54
07/02/2020,34399,163.60
10/02/2020,42769,164.80
11/02/2020,44811,165.26
12/02/2020,45229,166.30
13/02/2020,60381,166.23
14/02/2020,66909,166.50
18/02/2020,75152,166.11
19/02/2020,75652,166.95
20/02/2020,76212,166.45
21/02/2020,76841,164.74
24/02/2020,79550,159.32
25/02/2020,80404,154.46
26/02/2020,81381,153.60
27/02/2020,82740,146.87
28/02/2020,84128,145.88
02/03/2020,90379,151.92
03/03/2020,92980,148.01
04/03/2020,95282,153.92
05/03/2020,98100,148.79
06/03/2020,102016,146.03
09/03/2020,114232,134.30
10/03/2020,119055,140.97
11/03/2020,126714,133.83
12/03/2020,132513,120.82
13/03/2020,146864,131.81
16/03/2020,184034,116.81
17/03/2020,200039,122.67
18/03/2020,219585,115.60
19/03/2020,246683,116.45
20/03/2020,277564,111.70
23/03/2020,387488,108.52
24/03/2020,428574,118.82
25/03/2020,479663,120.46
26/03/2020,542525,127.77
27/03/2020,607435,123.70
30/03/2020,799279,127.45
31/03/2020,876098,125.63
01/04/2020,959012,119.83
02/04/2020,1041923,122.32
03/04/2020,1126238,120.24
