date,cases,price
24/11/2021,259479464,240.35
26/11/2021,260672259,235.15
29/11/2021,262192689,237.36
30/11/2021,262818343,232.62
01/12/2021,263526081,229.34
02/12/2021,264226450,233.07
03/12/2021,264940453,230.36
06/12/2021,266479904,233.32
07/12/2021,267172457,238.32
08/12/2021,267845234,239.34
09/12/2021,268573169,237.06
10/12/2021,269270292,238.68
13/12/2021,270829349,236.50
14/12/2021,271491083,234.73
15/12/2021,272229776,238.35
16/12/2021,272970953,235.68
17/12/2021,273699358,234.60
20/12/2021,275504086,231.30
21/12/2021,276293870,235.84
22/12/2021,277194688,238.17
23/12/2021,278177141,239.81
27/12/2021,281486304,242.96
28/12/2021,282800017,242.46
29/12/2021,284530653,242.60
30/12/2021,286480121,242.21
